sentence,correct_translation,choices,Eng_Difficulty_Label,Topic_Label
أيهما تفضل الأحمر أم الازرق ؟,"Which one do you prefer, the red one or the blue one?","['Which one do you hate, the red one or the blue one?', 'Which one do you prefer, the green one or the yellow one?', 'Which one do you prefer, the white one or the black one?']",Easy,Litrature
إنه يوم رائع للمغامرة.,It’s a great day for an adventure.,"['It’s a bad day for an adventure.', ""It's a great day for sleeping."", ""It's a great day for staying indoors.""]",Easy,Subtitle
دعونا نبقى هنا لفترة أطول.,Let's stay here a little longer.,"[""Let's leave here immediately."", ""Let's go there a little longer."", ""Let's stay there a little longer.""]",Easy,Subtitle
أحب هذا المكان الهادئ.,I love this peaceful place.,"['I hate this peaceful place.', 'I love this noisy place.', 'I love this dangerous place.']",Easy,Subtitle
يجب أن نستكشف هذه المنطقة.,We should explore this area.,"['We should not explore this area.', 'We should ignore this area.', 'We should leave this area.']",Easy,Subtitle
دعونا نلتقط هذه اللحظة.,Let's capture this moment.,"[""Let's forget this moment."", ""Let's delete this moment."", ""Let's ignore this moment.""]",Easy,Subtitle
العديد من الناس يستثمرون في العقارات.,Many people are investing in real estate.,"['Many people are investing in the stock market.', 'Many people are investing in banks.', 'Many people are investing in cryptocurrencies.']",Easy,EcoFinancial
يحدد الدستور سلطات فروع الحكومة.,The constitution defines the powers of government branches.,"['The constitution defines the powers of the president.', 'The constitution defines the powers of the people.', 'The constitution defines the powers of international organizations.']",Easy,Legal
هذا المكان مليء بالمفاجآت.,This place is full of surprises.,"['This place is full of boredom.', 'This place is full of dangers.', 'This place is full of calmness.']",Easy,Subtitle
تدير الحكومات المحلية الخدمات العامة مثل المياه والنفايات.,Local governments manage public services like water and waste.,"['Local governments manage private services like hotels and restaurants.', 'Local governments manage international services like airports and ports.', 'Local governments have no role in managing public services.']",Easy,Legal
قلل من وقت الشاشة لتقليل إجهاد العين.,Limit screen time to reduce eye strain.,"['Increase screen time to reduce eye strain.', 'Increase screen time to reduce eye health.', 'Screen time has no effect on eye strain.']",Easy,Health
إذا أردت الحصول على دراجة جديدة، من الفضل لك أن تبدأ بتوفير النقود,"If you want a new bike, you'd better start saving up.","[""If you want a new bike, you'd better start spending money."", ""If you want a new car, you'd better start saving up."", ""If you want a new bike, you don't need to save money.""]",Easy,Litrature
Investing in stocks can be profitable.,الاستثمار في الأسهم قد يكون مربحًا.,"[ ""الاستثمار في الأسهم دائمًا ما يكون خاسرًا."", ""الاستثمار في الأسهم ليس له مخاطر."", ""الاستثمار في السندات مربح دائمًا."" ]",Easy,EcoFinancial
قم بزيارة طبيبك بانتظام لإجراء الفحوصات.,Visit your doctor regularly for check-ups.,"['Visit your dentist regularly for check-ups.', 'Visit your vet regularly for check-ups.', 'Visit your teacher regularly for check-ups.']",Easy,Health
هذا يوم مثالي.,This is a perfect day.,"['This is a terrible day.', 'This is a cloudy day.', 'This is a normal day.']",Easy,Subtitle
كيف تعلم إن كان حساب بريدك الإلكتروني قد اختُرق؟,How do you know if your email account has been hacked?,"['How do you know if your phone has been hacked?', 'How do you know if your bank account has been hacked?', 'How do you know if your social media account has been hacked?']",Easy,Litrature
Reading food labels helps you make healthier choices.,قراءة ملصقات الطعام تساعدك على اتخاذ خيارات صحية.,"[ ""تجاهل ملصقات الطعام يساعدك على اتخاذ خيارات صحية."", ""قراءة ملصقات الطعام ليس لها أي تأثير على صحتك."", ""قراءة ملصقات الكتب تساعدك على اتخاذ خيارات صحية."" ]",Easy,Health
الوصية هي وثيقة قانونية تشرح كيفية توزيع ممتلكات الشخص بعد وفاته.,A will is a legal document that explains how a person’s property will be distributed after death.,"[""A will is a personal note that explains how a person's property will be distributed after death."", ""A will is a religious text that explains how a person's property will be distributed after death."", ""A will is a political document that explains how a person's property will be distributed after death.""]",Easy,Legal
"Vaccination is one of the most effective public health interventions, preventing the spread of infectious diseases and protecting individuals from serious illnesses.",التطعيم هو واحدة من أكثر التدخلات الصحية العامة فعالية، حيث يمنع انتشار الأمراض المعدية ويحمي الأفراد من الأمراض الخطيرة.,"[ ""التطعيم هو واحدة من أكثر التدخلات الصحية العامة غير فعالية، حيث يزيد انتشار الأمراض المعدية ولا يحمي الأفراد من الأمراض الخطيرة."", ""التطعيم هو واحدة من أكثر التدخلات الصحية العامة فعالية، حيث يزيد انتشار الأمراض المعدية ولا يحمي الأفراد من الأمراض الخطيرة."", ""التطعيم ليس له تأثير على انتشار الأمراض المعدية."" ]",Easy,Health
الحكومة تقدم مساعدات مالية للعائلات ذات الدخل المنخفض.,The government is providing financial aid to low-income families.,"['The government is not providing any financial aid to low-income families.', 'The government is providing financial aid to high-income families.', 'The government is providing financial aid to all families.']",Easy,EcoFinancial
ليس لدي الوقت لشراء ربطة عنق جديدة قبل الوليمة,I don't have time to buy a new tie before the banquet.,"['I have time to buy a new tie before the banquet.', ""I don't have time to buy a new suit before the banquet."", ""I don't need to buy anything before the banquet.""]",Easy,Litrature
Look at the colorful flowers.,انظر إلى الزهور الملونة.,"[ ""انظر إلى الأشجار الملونة."", ""انظر إلى السماء الملونة."", ""انظر إلى الطيور الملونة."" ]",Easy,Subtitle
النجوم مشرقة جدًا الليلة.,The stars are so bright tonight.,"['The stars are so dim tonight.', 'The stars are not visible tonight.', 'The sun is so bright tonight.']",Easy,Subtitle
العدد الكلي للحالات المؤكدة.,The total number of confirmed cases.,"['The total number of suspected cases.', 'The total number of deaths.', 'The total number of recovered cases.']",Easy,Health
تكلفة السلع والخدمات ترتفع بسبب التضخم.,The cost of goods and services is rising due to inflation.,"['The cost of goods and services is decreasing due to inflation.', 'The cost of goods and services is stable due to inflation.', 'The cost of goods and services is not related to inflation.']",Easy,EcoFinancial
لم يقرأ توم أي رسالة أرسلتها ماري إليه,Tom didn't read any of the messages Mary sent to him.,"['Tom read all of the messages Mary sent to him.', 'Tom read some of the messages Mary sent to him.', ""Mary didn't send any messages to Tom.""]",Easy,Litrature
The stock market has been stable for the past few weeks.,سوق الأسهم كان مستقرًا خلال الأسابيع القليلة الماضية.,"[ ""سوق الأسهم كان متقلبًا خلال الأسابيع القليلة الماضية."", ""سوق الأسهم كان مرتفعا خلال الأسابيع القليلة الماضية."", ""سوق الأسهم كان منخفضا خلال الأسابيع القليلة الماضية."" ]",Easy,EcoFinancial
النظام الغذائي المتوازن يساعدك على الحصول على جميع العناصر الغذائية التي تحتاجها.,A balanced diet helps you get all the nutrients you need.,"['A balanced diet helps you get some of the nutrients you need.', 'A balanced diet helps you get none of the nutrients you need.', 'A fast food diet helps you get all the nutrients you need.']",Easy,Health
إن خرق الواجب الائتماني من قبل المدعى عليه، الذي تصرف بسوء نية وفي صراع مباشر مع مصالح المدعي، يبرر طلب المدعي للحصول على تعويضات مالية وتعويضات إنصاف.,"The breach of fiduciary duty by the defendant, who acted in bad faith and in direct conflict with the interests of the plaintiff, justifies the plaintiff's request for both compensatory damages and equitable relief.","[""The breach of fiduciary duty by the plaintiff justifies the plaintiff's request for both compensatory damages and equitable relief."", ""The breach of contract by the defendant justifies the plaintiff's request for both compensatory damages and equitable relief."", ""The breach of trust by the defendant does not justify the plaintiff's request for both compensatory damages and equitable relief.""]",Hard,Legal
حكمت المحكمة بأن المدعي يستحق تعويضًا عن الأجور المفقودة، والنفقات الطبية، والضيق العاطفي الناجم عن إهمال المتهم.,"The court ruled that the plaintiff was entitled to compensation for lost wages, medical expenses, and emotional distress resulting from the defendant's negligence.","['The court ruled that the plaintiff was not entitled to compensation for lost wages, medical expenses, and emotional distress.', 'The court ruled that the plaintiff was entitled to compensation for lost wages and medical expenses but not for emotional distress.', 'The court ruled that the plaintiff was entitled to compensation for emotional distress but not for lost wages and medical expenses.']",Hard,Legal
يتم استكشاف تعقيدات الطبيعة البشرية في 'الجريمة والعقاب' لدوستويفسكي من خلال المعضلات الأخلاقية لبطل الرواية، راسكولنيكوف.,"The intricacies of human nature in Dostoevsky's 'Crime and Punishment' are explored through the moral dilemmas of its protagonist, Raskolnikov.","[ ""The simplicities of human nature in Dostoevsky's 'Crime and Punishment' are explored through the moral dilemmas of its antagonist, Raskolnikov."", ""The intricacies of animal nature in Dostoevsky's 'Crime and Punishment' are explored through the moral dilemmas of its protagonist, Raskolnikov."", ""The intricacies of human nature in Dostoevsky's 'Crime and Punishment' are explored through the psychological well-being of its protagonist, Raskolnikov."" ],",Hard,Litrature
تعكس تقنية تدفق الوعي في 'الصوت والغضب' لويليام فوكنر الطبيعة المجزأة للتجربة الإنسانية.,The stream-of-consciousness technique in William Faulkner's 'The Sound and the Fury' reflects the fragmented nature of human experience.,"[""The stream-of-consciousness technique in William Faulkner's 'The Sound and the Fury' reflects the unified nature of human experience."", ""The stream-of-consciousness technique in William Faulkner's 'The Sound and the Fury' reflects the historical nature of human experience."", ""The stream-of-consciousness technique in William Faulkner's 'The Sound and the Fury' does not reflect the nature of human experience.""]",Hard,Litrature
المتحورات المثيرة للقلق، بما في ذلك متحورات ألفا وبيتا وغاما ودلتا، أظهرت زيادة في القدرة على الانتقال، مما أثار القلق بشأن احتمال تسببها في موجات مستقبلية من الجائحة.,"Variants of concern, including the Alpha, Beta, Gamma, and Delta variants, have demonstrated enhanced transmissibility, raising alarm about their potential to drive future waves of the pandemic.","['Variants of concern have demonstrated a decrease in their transmissibility.', 'Variants of concern have not been linked to future waves of the pandemic.', 'Variants of concern has demonstrated decreased transmissibility, making future waves of the pandemic highly unlikely.']",Hard,Health
تم وضع مشروع خطة وتعميمها على الجهات المعنية، ومنها وزارة الأسرة والمرأة والطفل، وشبكة النساء المنتميات للأحزاب السياسية في كوت ديفوار، ومنظمات المجتمع المدني، وصندوق الأمم المتحدة للسكان.,"A draft plan was prepared and shared among the stakeholders, including the Ministry of Family, Women and Children, the Network of Women from Political Parties in Côte d &apos; Ivoire, civil society organizations and the United Nations Population Fund.","['A draft plan was prepared and not shared among the stakeholders.', 'A draft plan was not prepared and shared among the stakeholders.', 'A draft plan was prepared for international use only.']",Hard,Legal
تعتقد أنك تفهم، ولكنك لا تعرف حتى نصفه.,"You think you understand, but you don’t even know the half of it.","['You think you understand, and you know all of it.', 'You know everything about this issue.', 'You think you understand, but you know more than the other person.']",Hard,Subtitle
تشير الأبحاث الأولية إلى أن SARS-CoV-2 قد يكون له ميل أعلى للطفرات في البروتين الشوكي، مما قد يؤثر على فعالية اللقاحات الحالية.,"Preliminary research indicates that SARS-CoV-2 may have a higher propensity for mutations in the spike protein, potentially affecting the efficacy of existing vaccines.","['Preliminary research indicates that SARS-CoV-2 may have a lower propensity for mutations in the spike protein, potentially affecting the efficacy of existing vaccines.', 'Preliminary research indicates that SARS-CoV-2 may not have propensity for mutations in the spike protein, potentially affecting the efficacy of existing vaccines.', 'Preliminary research indicates that SARS-CoV-2 has a lower propensity for mutations in the spike protein, and will not affect the efficacy of the existing vaccines.']",Hard,Health
تشير النتائج الأخيرة إلى أن الحاملين بدون أعراض لـ SARS-CoV-2 يلعبون دورًا كبيرًا في انتقال الفيروس، مما يعقد الجهود للسيطرة على الجائحة.,"Recent findings suggest that asymptomatic carriers of SARS-CoV-2 play a significant role in the transmission of the virus, complicating efforts to contain the pandemic.","['Recent findings suggest that symptomatic carriers of SARS-CoV-2 play a significant role in the transmission of the virus, complicating efforts to contain the pandemic.', 'Recent findings suggest that carriers of SARS-CoV-2 have a small role in the transmission of the virus, simplifying efforts to contain the pandemic.', 'Recent findings suggest that asymptomatic carriers of SARS-CoV-2 play a small role in the transmission of the virus, simplifying efforts to contain the pandemic.']",Hard,Health
لقد زاد الضيق النفسي المرتبط بجائحة COVID-19 بشكل كبير من انتشار اضطرابات الصحة النفسية، خاصة القلق والاكتئاب، على مستوى العالم.,"Psychological distress related to the COVID-19 pandemic has significantly increased the prevalence of mental health disorders, particularly anxiety and depression, worldwide.","['Psychological distress related to the COVID-19 pandemic has significantly decreased the prevalence of mental health disorders.', 'Psychological distress related to the COVID-19 pandemic has not changed the prevalence of mental health disorders.', 'Psychological distress related to the COVID-19 pandemic has significantly increased the prevalence of physical health disorders.']",Hard,Health
تتحدى الأسئلة الوجودية المطروحة في 'في انتظار غودو' لصمويل بيكيت المفاهيم التقليدية للمعنى والهدف.,The existential questions posed in Samuel Beckett's 'Waiting for Godot' challenge traditional notions of meaning and purpose.,"[""The existential questions posed in Samuel Beckett's 'Waiting for Godot' support traditional notions of meaning and purpose."", ""The existential questions posed in Samuel Beckett's 'Waiting for Godot' have no connection to traditional notions of meaning and purpose."", ""The existential questions posed in Samuel Beckett's 'Waiting for Godot' are exploring modern notions of meaning and purpose.""]",Hard,Litrature
يتم تعليق فترة التقادم لتقديم الدعوى في هذه الولاية القضائية في الحالات التي لا يستطيع فيها المدعي اكتشاف الحقائق المتعلقة بالدعوى بسبب الاحتيال أو إخفاء الأدلة من قبل المدعى عليه.,The statute of limitations for filing a claim in this jurisdiction is tolled in cases where the plaintiff was unable to discover the facts underlying the claim due to fraud or concealment by the defendant.,"['The statute of limitations for filing a claim in this jurisdiction is not tolled in cases where the plaintiff was unable to discover the facts underlying the claim due to fraud.', 'The statute of limitations for filing a claim in this jurisdiction is not related to fraud or concealment.', 'The statute of limitations for filing a claim in this jurisdiction is tolled in all cases.']",Hard,Legal
The judiciary must remain independent to ensure impartial enforcement of the law.,يجب أن يظل القضاء مستقلًا لضمان تطبيق القانون بشكل عادل.,"['يجب أن يظل القضاء تابعًا لضمان تطبيق القانون بشكل عادل.', 'يجب أن يظل القضاء مستقلا لضمان تطبيق القانون بشكل غير عادل.', 'يجب أن يظل القضاء غير متحيز بغض النظر عن تطبيق القانون.']",Medium,Legal
تجاوزت إيرادات الشركة الفصلية توقعات السوق.,The company’s quarterly revenue has exceeded market expectations.,"['The company’s quarterly revenue has met market expectations.', 'The company’s quarterly revenue has fallen below market expectations.', 'The company has no quarterly revenue.']",Medium,EcoFinancial
لقد أثّر COVID-19 بشكل كبير على الأنظمة الصحية العالمية، مما يتطلب تعديلات عاجلة في تقديم الرعاية الصحية وحملات التطعيم.,"COVID-19 has significantly impacted global health systems, requiring urgent adaptations to healthcare delivery and vaccination campaigns.","['COVID-19 has significantly improved global health systems, requiring urgent adaptations to healthcare delivery and vaccination campaigns.', 'COVID-19 has had a minor impact on global health systems, not requiring any adaptations to healthcare delivery and vaccination campaigns.', 'COVID-19 has had no impact on global health systems, not requiring any adaptations to healthcare delivery and vaccination campaigns.']",Medium,Health
الحركة الوحيدة للهواء هي الصعود، لذا تبقى المناطق تحت هادئة وخالية من الرياح.,"The only movement of air is up, so the areas underneath remain calm and windless.","['The only movement of air is down, so the areas underneath remain calm and windless.', 'The movement of air is horizontal, so the areas underneath remain calm and windless.', 'The movement of air is random, so the areas underneath remain calm and windless.']",Medium,Subtitle
إنه لأمر مذهل أن تفكر أن تحتك كل أنواع الطقس التي يمكن تخيلها.,It's amazing to think that below me is every kind of weather imaginable.,"[""It's terrifying to think that below me is every kind of weather imaginable."", ""It's amazing to think that above me is every kind of weather imaginable."", ""It's amazing to think that around me is every kind of weather imaginable.""]",Medium,Subtitle
Many consider 'One Thousand and One Nights' a cornerstone of Arabic literature.,يعتبر الكثيرون 'ألف ليلة وليلة' حجر الزاوية في الأدب العربي.,"[ ""يعتبر الكثيرون 'ألف ليلة وليلة' هامشًا في الأدب العربي."", ""يعتبر الكثيرون 'ألف ليلة وليلة' حجر الزاوية في الأدب الغربي."", ""يعتبر الكثيرون 'ألف ليلة وليلة' جزءًا ثانويًا من الأدب العربي."" ]",Medium,Litrature
في الساعة القادمة، سأواجه كل شيء من نسيم إلى غضب إعصار.,"In the next hour, I'm going to experience everything from a breeze to the fury of a tornado.","[""In the next hour, I'm going to experience nothing but a gentle breeze."", ""In the next hour, I'm going to experience nothing but a fury of a tornado."", ""In the next hour, I'm going to experience a calm weather.""]",Medium,Subtitle
Many novels use allegory to critique societal norms and advocate for change.,تستخدم العديد من الروايات الرمزية لانتقاد الأعراف المجتمعية والدعوة للتغيير.,"[ ""تستخدم العديد من الروايات الرمزية لدعم الأعراف المجتمعية ومقاومة التغيير."", ""تستخدم العديد من الروايات اللغة المباشرة لانتقاد الأعراف المجتمعية والدعوة للتغيير."", ""تستخدم العديد من الروايات الرمزية لتقديم الأعراف المجتمعية بشكل إيجابي."" ]",Medium,Litrature
قضت المحكمة بعدم قبول الأدلة بسبب التعامل غير السليم معها.,The court ruled that the evidence was inadmissible due to improper handling.,"['The court ruled that the evidence was admissible despite the improper handling.', 'The court ruled that the evidence was admissible because of the improper handling.', 'The court did not rule on the admissibility of the evidence.']",Medium,Legal
ساهمت ترجمات شكسبير إلى العربية في الحوار الأدبي بين الثقافات.,Translations of Shakespeare into Arabic have contributed to cross-cultural literary dialogue.,"['Translations of Shakespeare into Arabic have decreased cross-cultural literary dialogue.', 'Translations of Shakespeare into Arabic have had no effect on cross-cultural literary dialogue.', 'Translations of Shakespeare into English have contributed to cross-cultural literary dialogue.']",Medium,Litrature
تستكشف العديد من الروايات العربية موضوعات الهوية والمنفى والوطن.,"Many Arabic novels explore themes of identity, exile, and homeland.","['Many Arabic novels explore themes of love and peace.', 'Many Arabic novels explore themes of identity and patriotism.', 'Many Arabic novels explore themes of war and violence.']",Medium,Litrature
تم منح المتهم حصانة مقابل شهادته.,The defendant was granted immunity in exchange for testifying.,"['The defendant was not granted immunity in exchange for testifying.', 'The defendant was given a sentence in exchange for testifying.', 'The defendant was granted money in exchange for testifying.']",Medium,Legal
تحسنت ميزان التجارة في البلاد مع زيادة حجم الصادرات.,The country’s trade balance has improved with a higher volume of exports.,"['The country’s trade balance has deteriorated with a higher volume of exports.', 'The country’s trade balance has improved with a lower volume of exports.', 'The country’s trade balance has remained the same with a higher volume of exports.']",Medium,EcoFinancial
ألغت محكمة الاستئناف قرار المحكمة الأدنى.,The appellate court overturned the lower court's decision.,"[""The appellate court upheld the lower court's decision."", 'The appellate court supported the lower court’s decision.', 'The appellate court had no authority on the lower court’s decision.']",Medium,Legal
منحت المحكمة للمتهم كفالة حتى موعد المحاكمة.,The court granted the defendant bail pending trial.,"['The court did not grant the defendant bail pending trial.', 'The court denied the defendant bail pending trial.', 'The court sentenced the defendant instead of giving bail.']",Medium,Legal
المستثمرون حذرون بشأن التأثير المحتمل لعدم الاستقرار السياسي على سوق الأسهم.,Investors are cautious about the potential impact of political instability on the stock market.,"['Investors are confident about the potential impact of political instability on the stock market.', 'Investors are not affected by the potential impact of political instability on the stock market.', 'Investors are optimistic about the impact of political instability on the stock market.']",Medium,EcoFinancial
يمكن أن تساهم تلوث الهواء والسموم البيئية في مشاكل التنفس وزيادة خطر الإصابة بالربو وأمراض مزمنة أخرى.,Air pollution and environmental toxins can contribute to respiratory problems and increase the risk of developing asthma and other chronic diseases.,"['Air pollution and environmental toxins have no impact on respiratory problems and have no connection to developing asthma and other chronic diseases.', 'Air pollution and environmental toxins can improve respiratory problems and have no connection to developing asthma and other chronic diseases.', 'Air pollution and environmental toxins can help in preventing respiratory problems and decrease the risk of developing asthma and other chronic diseases.']",Medium,Health
رفع الاحتياطي الفيدرالي أسعار الفائدة لمكافحة التضخم.,The Federal Reserve has raised interest rates to combat inflation.,"['The Federal Reserve has lowered interest rates to combat inflation.', 'The Federal Reserve has kept interest rates stable to combat inflation.', 'The Federal Reserve has no power on the interest rates.']",Medium,EcoFinancial
تواجه البلاد تحديات بسبب مستوى الدين العام المرتفع.,The country is facing challenges due to a high level of public debt.,"['The country is thriving despite a high level of public debt.', 'The country is facing no challenges despite a high level of public debt.', 'The country is facing no challenges due to a low level of public debt.']",Medium,EcoFinancial
يوفر الأدب نظرة ثاقبة على الحالة الإنسانية عبر الثقافات والأزمنة المختلفة.,Literature provides insight into the human condition across different cultures and times.,"['Literature provides insight into the human condition only in modern culture.', 'Literature provides insight into animal’s condition across different cultures and times.', 'Literature has no insight into the human condition.']",Medium,Litrature
تقارير أرباح الشركات تؤثر على أسعار الأسهم.,Corporate earnings reports affect stock prices.,"['Corporate earnings reports do not affect stock prices.', 'Corporate earnings reports affect bonds’ prices.', 'Corporate earnings reports affect the real estate prices.']",Medium,EcoFinancial
النمو الاقتصادي يؤدي إلى زيادة الإنفاق الاستهلاكي.,Economic growth leads to increased consumer spending.,"['Economic growth leads to decreased consumer spending.', 'Economic growth has no effect on consumer spending.', 'Economic growth leads to increased government spending.']",Medium,EcoFinancial
يتم استخدام الغذاء الوظيفي غير المكشوف عنه بالفعل لأمراض أخرى وليس دواء يتطلب التسجيل لدى إدارة الغذاء والدواء (FDA).,The undisclosed functional food is already used for other diseases and is not a drug that requires registration with the FDA.,"['The undisclosed functional food is already used for other diseases and is a drug that requires registration with the FDA.', 'The undisclosed functional food is not used for other diseases but is a drug that requires registration with the FDA.', 'The undisclosed functional food has no medical effect and is a drug that requires registration with the FDA.']",Medium,Health
تمت حماية حقوق المتهم الدستورية خلال المحاكمة.,The defendant's constitutional rights were upheld during the trial.,"[""The defendant's constitutional rights were not upheld during the trial."", ""The defendant's human rights were not upheld during the trial."", ""The defendant's social rights were upheld during the trial.""]",Medium,Legal
يمكن أن يكون الأدب بمثابة مرآة تعكس قيم وتحديات المجتمع.,Literature can serve as a mirror reflecting society's values and challenges.,"[""Literature can serve as a wall reflecting society's values and challenges."", ""Literature can serve as a window reflecting society's values and challenges."", 'Literature can serve as a mirror reflecting nature’s values and challenges.']",Medium,Litrature
تعكس أشعار محمود درويش نضالات وآمال الشعب الفلسطيني.,The poetry of Mahmoud Darwish reflects the struggles and hopes of the Palestinian people.,"['The poetry of Mahmoud Darwish reflects the struggles and hopelessness of the Palestinian people.', 'The poetry of Mahmoud Darwish reflects the successes of the Palestinian people.', 'The poetry of Mahmoud Darwish reflects the beauty of the Palestinian people.']",Medium,Litrature
الفحوصات المنتظمة لبعض أنواع السرطان يمكن أن تؤدي إلى اكتشاف مبكر وزيادة معدلات البقاء على قيد الحياة.,Regular screening for certain cancers can lead to early detection and higher survival rates.,"['Regular screening for certain cancers can lead to late detection and lower survival rates.', 'Regular screening for certain cancers can lead to no detection and same survival rates.', 'Regular screening for all cancers can lead to early detection and higher survival rates.']",Medium,Health
غالبًا ما تلتقط الشعر جوهر المشاعر الإنسانية في بضعة أسطر.,Poetry often captures the essence of human emotions in a few lines.,"['Poetry often captures the details of human emotions in many lines.', 'Poetry often captures the essence of nature in a few lines.', 'Poetry does not capture the essence of human emotions.']",Medium,Litrature
كانت فن السرد جزءًا حيويًا من الثقافة العربية لقرون.,The art of storytelling has been a vital part of Arab culture for centuries.,"['The art of cooking has been a vital part of Arab culture for centuries.', 'The art of painting has been a vital part of Arab culture for centuries.', 'The art of storytelling has not been a vital part of Arab culture.']",Medium,Litrature
يشمل الأدب العربي مجموعة واسعة من الأنواع، بما في ذلك الشعر والنثر والدراما.,"Arabic literature encompasses a wide range of genres, including poetry, prose, and drama.","['Arabic literature encompasses a narrow range of genres, including poetry, prose, and drama.', 'Arabic literature does not encompass any range of genres.', 'Arabic literature includes poetry, short stories, and novels.']",Medium,Litrature
قام محامي الدفاع بالاستجواب المضاد للشاهد الرئيسي للادعاء.,The defense attorney cross-examined the prosecution's key witness.,"[""The defense attorney questioned the prosecution's key witness."", ""The defense attorney directly supported the prosecution's key witness."", ""The prosecution cross-examined the defense's key witness.""]",Medium,Legal
قدم المدعي العام أدلة قوية لدعم لائحة الاتهام.,The prosecutor presented compelling evidence to support the indictment.,"['The prosecutor presented weak evidence to support the indictment.', 'The prosecutor presented compelling evidence to not support the indictment.', 'The defense attorney presented compelling evidence to support the indictment.']",Medium,Legal
تم تبرئة المتهم بسبب نقص الأدلة.,The defendant was acquitted due to insufficient evidence.,"['The defendant was convicted due to insufficient evidence.', 'The defendant was acquitted despite of the strong evidence.', ""The defendant was acquitted because the plaintiff didn't show up.""]",Medium,Legal
قدم المدعي طلبًا لرفض القضية على أساس الإجراءات.,The plaintiff filed a motion to dismiss the case on procedural grounds.,"['The defendant filed a motion to dismiss the case on procedural grounds.', 'The plaintiff filed a motion to dismiss the case on evidence grounds.', 'The plaintiff filed a motion to accept the case on procedural grounds.']",Medium,Legal
يجب على الأشخاص الذين يعانون من الحالات المزمنة العمل عن كثب مع فريق الرعاية الصحية الخاص بهم لتطوير خطة إدارة تناسب احتياجاتهم الخاصة.,People who suffer from chronic conditions should work closely with their healthcare team to develop a management plan that suits their specific needs.,"['People who suffer from chronic conditions should not work closely with their healthcare team.', 'People who suffer from chronic conditions should develop a management plan that suits everyone’s needs.', 'People who suffer from chronic conditions should work alone to develop a management plan that suits their specific needs.']",Medium,Health
تطوير روتين نوم منتظم وتجنب الكافيين قبل وقت النوم يمكن أن يحسن من جودة نومك ويعزز صحتك العامة.,Developing a regular sleep routine and avoiding caffeine before bedtime can improve the quality of your sleep and enhance overall health.,"['Developing a random sleep routine and avoiding caffeine before bedtime can improve the quality of your sleep and enhance overall health.', 'Developing a regular sleep routine and drinking caffeine before bedtime can improve the quality of your sleep and enhance overall health.', 'Developing a regular sleep routine and avoiding caffeine before bedtime can affect the quality of your sleep and not enhance overall health.']",Medium,Health
تحتي خط الاستواء وبداية رحلتي مع الريح.,Below me is the equator and the start of my journey with wind.,"['Above me is the equator and the start of my journey with wind.', 'Around me is the equator and the end of my journey with wind.', 'Below me is the equator and the end of my journey with wind.']",Medium,Subtitle
الإفراط في تناول الأطعمة المعالجة والمليئة بالسكر يمكن أن يؤدي إلى السمنة، مقاومة الأنسولين، واضطرابات أيضية أخرى.,"Overconsumption of processed and sugary foods can lead to obesity, insulin resistance, and other metabolic disorders.","['Overconsumption of healthy food can lead to obesity, insulin resistance, and other metabolic disorders.', 'Overconsumption of processed and sugary foods can help to avoid obesity, insulin resistance, and other metabolic disorders.', 'Overconsumption of processed and sugary foods has no relation to any health issues.']",Medium,Health
أعلى بكثير، تدخل طبقة الستراتوسفير، وهي منطقة خالية تقريبًا من الطقس.,"Way above, you enter the stratosphere, an almost completely weather-free zone.","['Way above, you enter the troposphere, a completely weather-free zone.', 'Way below, you enter the stratosphere, a completely weather-free zone.', 'Way above, you enter the stratosphere, a place full of weather activity.']",Medium,Subtitle
قدّم محامي الدفاع طلبًا لتغيير مكان المحاكمة.,The defense attorney filed a motion for a change of venue.,"['The defense attorney filed a motion to keep the venue of the trial.', 'The prosecution attorney filed a motion for a change of venue.', 'The judge issued a change of the venue.']",Medium,Legal