correct_translation,sentence,pieces,Eng_Difficulty_Label,Topic_Label
The population of this city is decreasing every year.,عدد سكان هذه المدينة يتناقص كل عام,"['this', 'population', 'The', 'of', 'decreasing', 'year.', 'is', 'city', 'every']",Easy,Litrature
الطقس مثالي للرحلة.,The weather is perfect for a trip.,"['الطقس', 'مثالي', 'للرحلة.']",Easy,Subtitle
يحتاج الجسم إلى ضوء الشمس لإنتاج فيتامين د.,The body needs sunlight to produce vitamin D.,"['الشمس', 'د.', 'لإنتاج', 'فيتامين', 'يحتاج', 'ضوء', 'الجسم', 'إلى']",Easy,Health
People are looking for ways to save money on daily expenses.,الناس يبحثون عن طرق لتوفير المال على المصاريف اليومية.,"['on', 'money', 'to', 'save', 'expenses.', 'for', 'People', 'daily', 'looking', 'ways', 'are']",Easy,EcoFinancial
الرياح تشعر بالراحة.,The wind feels nice.,"['الرياح', 'تشعر', 'بالراحة.']",Easy,Subtitle
Avoid eating too much sugar to protect your teeth.,تجنب تناول الكثير من السكر لحماية أسنانك.,"['teeth.', 'much', 'protect', 'to', 'eating', 'your', 'Avoid', 'sugar', 'too']",Easy,Health
أتساءل عما سنراه بعد ذلك.,I wonder what we will see next.,"['بعد', 'سنراه', 'عما', 'أتساءل', 'ذلك.']",Easy,Subtitle
العديد من الأفراد يستثمرون في الصناديق المشتركة للتقاعد.,Many individuals invest in mutual funds for retirement.,"['الصناديق', 'المشتركة', 'العديد', 'من', 'يستثمرون', 'للتقاعد.', 'الأفراد', 'في']",Easy,EcoFinancial
قم دائمًا بتغطية فمك عند السعال أو العطس.,Always cover your mouth when you cough or sneeze.,"['دائمًا', 'السعال', 'عند', 'بتغطية', 'فمك', 'أو', 'قم', 'العطس.']",Easy,Health
كلما وجدت شيئًا يعجبني، وجدته غاليا جدا,"Whenever I find something I like, it's too expensive.","['غاليا', 'وجدته', 'كلما', 'شيئًا', 'وجدت', 'يعجبني،', 'جدا']",Easy,Litrature
No one shall be arbitrarily deprived of his property.,لا يجوز تجريد أحد من ملكه تعسفا,"['deprived', 'No', 'shall', 'property.', 'arbitrarily', 'his', 'of', 'one', 'be']",Easy,Litrature
The economy is showing signs of recovery.,الاقتصاد يظهر علامات على التعافي.,"['is', 'signs', 'showing', 'recovery.', 'of', 'economy', 'The']",Easy,EcoFinancial
العديد من الشركات تقوم بتوزيع أرباح للمساهمين.,Many companies are issuing dividends to their shareholders.,"['أرباح', 'الشركات', 'من', 'بتوزيع', 'العديد', 'للمساهمين.', 'تقوم']",Easy,EcoFinancial
في البداية واجه صعوبة في التأقلم مع بيته الجديد,At first he had trouble getting used to his new house.,"['البداية', 'الجديد', 'بيته', 'مع', 'في', 'واجه', 'التأقلم', 'في', 'صعوبة']",Easy,Litrature
يقول توم بأنه ليس هو من كسر النافذة,Tom says that he wasn't the one who broke the window.,"['ليس', 'من', 'توم', 'كسر', 'هو', 'بأنه', 'النافذة', 'يقول']",Easy,Litrature
إنه أحد المجالات الفرعية للمعلوماتية الصحية.,It is one of the subdomains of health informatics.,"['الفرعية', 'إنه', 'للمعلوماتية', 'الصحية.', 'أحد', 'المجالات']",Easy,Health
I must calculate how much money I'll spend next week.,يجب علي حساب كمية المال الذي سوف أنفقه الاسبوع المقبل,"['calculate', 'spend', 'money', 'week.', ""I'll"", 'I', 'must', 'next', 'much', 'how']",Easy,Litrature
The contract must be signed by both parties to be legally binding.,يجب أن يتم توقيع العقد من قبل الطرفين ليكون ملزمًا قانونيًا.,"['contract', 'be', 'binding.', 'by', 'signed', 'both', 'The', 'to', 'parties', 'legally', 'must', 'be']",Easy,Legal
A contract is an agreement between two or more parties that is enforceable by law.,العقد هو اتفاق بين طرفين أو أكثر يمكن إنفاذه قانونًا.,"['between', 'is', 'more', 'is', 'contract', 'parties', 'two', 'law.', 'enforceable', 'agreement', 'A', 'by', 'or', 'that', 'an']",Easy,Legal
Let’s take some photos to remember this moment.,دعونا نأخذ بعض الصور لتذكر هذه اللحظة.,"['take', 'to', 'photos', 'this', 'Let’s', 'moment.', 'remember', 'some']",Easy,Subtitle
"This headquarters included heads of related state organisations, leading by Azerbaijan's Prime Minister Ali Asadov.",تضمنت هذه المقرات رؤساء المنظمات الحكومية ذات الصلة، بقيادة رئيس وزراء أذربيجان علي أسادوف.,"[""Azerbaijan's"", 'heads', 'Prime', 'state', 'Asadov.', 'by', 'headquarters', 'Minister', 'of', 'related', 'leading', 'This', 'Ali', 'organisations,', 'included']",Easy,Health
لم أكن أتوقع بأن توم سيقع في حب ماري,I didn't expect that Tom would fall in love with Mary.,"['توم', 'سيقع', 'حب', 'ماري', 'أتوقع', 'بأن', 'لم', 'في', 'أكن']",Easy,Litrature
التخطيط المالي أمر أساسي لتحقيق الاستقرار المستقبلي.,Financial planning is essential for future stability.,"['أساسي', 'المالي', 'التخطيط', 'الاستقرار', 'أمر', 'المستقبلي.', 'لتحقيق']",Easy,EcoFinancial
Drinking water is essential for staying healthy.,شرب الماء ضروري للحفاظ على الصحة.,"['is', 'water', 'healthy.', 'Drinking', 'for', 'essential', 'staying']",Easy,Health
Stress management is vital for a healthy lifestyle.,إدارة التوتر مهمة لنمط حياة صحي.,"['lifestyle.', 'for', 'Stress', 'a', 'is', 'management', 'healthy', 'vital']",Easy,Health
I used to think it was my responsibility to help Tom.,أنا اعتدت أن أفكر أنه من مسؤليتي أن أساعد توم,"['to', 'I', 'my', 'used', 'was', 'Tom.', 'think', 'help', 'responsibility', 'it', 'to']",Easy,Litrature
أنا متحمس لهذه المغامرة.,I’m excited for this adventure.,"['المغامرة.', 'لهذه', 'متحمس', 'أنا']",Easy,Subtitle
العناية المنتظمة بالأسنان تحافظ على صحتها وقوتها.,Regular dental care keeps your teeth healthy and strong.,"['المنتظمة', 'على', 'صحتها', 'وقوتها.', 'تحافظ', 'العناية', 'بالأسنان']",Easy,Health
The unemployment rate has decreased recently.,معدل البطالة انخفض مؤخرًا.,"['recently.', 'rate', 'decreased', 'The', 'unemployment', 'has']",Easy,EcoFinancial
ظهرت عدة حقائق مهمة بعد التحري,A few important facts emerged after the investigation.,"['ظهرت', 'عدة', 'التحري', 'بعد', 'حقائق', 'مهمة']",Easy,Litrature
He dreaded having to spend Christmas in the hospital.,لقد خشيَ أن يقضي عيد الميلاد في المستشفى,"['hospital.', 'the', 'spend', 'having', 'dreaded', 'in', 'He', 'to', 'Christmas']",Easy,Litrature
Theft is the unlawful taking of someone else’s property.,السرقة هي أخذ ممتلكات شخص آخر بشكل غير قانوني.,"['property.', 'is', 'Theft', 'else’s', 'of', 'the', 'taking', 'someone', 'unlawful']",Easy,Legal
Freedom of speech is a basic human right.,حرية التعبير هي حق أساسي من حقوق الإنسان.,"['a', 'human', 'speech', 'Freedom', 'basic', 'of', 'right.', 'is']",Easy,Legal
Eat more fruits and vegetables for a healthier diet.,تناول المزيد من الفواكه والخضروات لنظام غذائي صحي.,"['Eat', 'more', 'and', 'diet.', 'healthier', 'fruits', 'vegetables', 'for', 'a']",Easy,Health
I would go to the library if I had a car to get there.,لو كان عندي سيارة لذهبت إلى المكتبة,"['car', 'go', 'to', 'I', 'had', 'the', 'a', 'would', 'get', 'library', 'if', 'I', 'there.', 'to']",Easy,Litrature
The sun is shining brightly.,الشمس مشرقة ساطعة.,"['sun', 'shining', 'brightly.', 'The', 'is']",Easy,Subtitle
أسعار الفائدة ارتفعت هذا العام.,Interest rates have increased this year.,"['ارتفعت', 'هذا', 'أسعار', 'الفائدة', 'العام.']",Easy,EcoFinancial
"The 2019–20 coronavirus pandemic was confirmed to have spread to Cameroon, Central Africa on 6 March with its first confirmed case.",تأكد وصول جائحة فيروس كورونا 2019–20 إلى الكاميرون، وسط أفريقيا، بإصابة حالةٍ واحدةٍ.,"['pandemic', '2019–20', 'first', 'have', 'was', 'Central', 'to', 'Africa', 'March', 'case.', 'confirmed', 'to', 'spread', 'Cameroon,', 'with', '6', 'on', 'coronavirus', 'its', 'confirmed', 'The']",Easy,Health
Tom pretended that he didn't know what was happening.,تظاهر توم بأنه يجهل ما كان يحدث,"['that', 'Tom', ""didn't"", 'he', 'happening.', 'was', 'pretended', 'what', 'know']",Easy,Litrature
أكدت اليابان على إصابة ثلاث حالات إضافية، ليصل إجمالي عدد المصابين بها إلى سبع حالات، من ضمنهم رجل لم يزر مدينة ووهان قط.,"Japan confirms 3 additional cases, bringing the total infected in Japan to seven, including a man who had never visited Wuhan.","['إجمالي', 'لم', 'إصابة', 'على', 'المصابين', 'عدد', 'ووهان', 'مدينة', 'اليابان', 'إلى', 'إضافية،', 'ليصل', 'ضمنهم', 'بها', 'رجل', 'ثلاث', 'حالات', 'أكدت', 'حالات،', 'سبع', 'قط.', 'من', 'يزر']",Easy,Health
"On 13 March, five new cases have been identified with coronavirus with a maximum of 18, where 15 are located in Republika Srpska and 3 are in FBIH.",في 13 مارس، سُجل خمس حالات جديدة بفيروس كورونا بحد أقصى 18، حيث توجد 15 حالة في جمهورية صربسكا و 3 في FBIH.,"['cases', 'in', 'Republika', 'Srpska', 'March,', 'are', 'identified', 'in', 'been', '13', '18,', 'five', 'have', 'coronavirus', 'where', 'FBIH.', 'new', '15', 'are', '3', 'with', 'a', 'with', 'and', 'On', 'maximum', 'of', 'located']",Easy,Health
Wash your hands often to prevent the spread of germs.,اغسل يديك بشكل متكرر لمنع انتشار الجراثيم.,"['hands', 'Wash', 'of', 'spread', 'the', 'your', 'germs.', 'prevent', 'to', 'often']",Easy,Health
Look at the beautiful clouds.,انظر إلى السحب الجميلة.,"['Look', 'the', 'clouds.', 'at', 'beautiful']",Easy,Subtitle
"If you're wrong, admit it. If you're right, be quiet.",إن كنت مخطئا، فاعترف إن كنت محقّا، فاصمت,"['quiet.', 'be', 'admit', 'If', 'wrong,', 'it.', ""you're"", ""you're"", 'If', 'right,']",Easy,Litrature
Citizens have the right to vote in elections.,للمواطنين الحق في التصويت في الانتخابات.,"['Citizens', 'the', 'have', 'right', 'to', 'vote', 'elections.', 'in']",Easy,Legal
في 9 مارس، أُغلقت مدرسة هيكوري الابتدائية في مقاطعة هندريكس لمدة أسبوعين بعد أن ثبت إصابة أحد الطلاب بالفيروس.,"On March 9, Hickory Elementary School in Hendricks County closed for 2 weeks after a student tested positive for the virus.","['أسبوعين', '9', 'لمدة', 'إصابة', 'مدرسة', 'أحد', 'بعد', 'هيكوري', 'بالفيروس.', 'ثبت', 'الابتدائية', 'مارس،', 'أن', 'أُغلقت', 'الطلاب', 'هندريكس', 'في', 'في', 'مقاطعة']",Easy,Health
أعاد كتابة القصة فأحالها قصة مختلفة تمامًا,He rewrote the story into a completely different one.,"['مختلفة', 'كتابة', 'القصة', 'قصة', 'تمامًا', 'أعاد', 'فأحالها']",Easy,Litrature
تحدد قوانين الملكية كيفية استخدام أو امتلاك الأراضي والمباني.,Property laws determine how land and buildings can be used or owned.,"['استخدام', 'الأراضي', 'الملكية', 'والمباني.', 'امتلاك', 'أو', 'قوانين', 'كيفية', 'تحدد']",Easy,Legal
An appeal is a request to review a court’s decision.,الاستئناف هو طلب لمراجعة قرار المحكمة.,"['a', 'to', 'decision.', 'request', 'appeal', 'An', 'court’s', 'review', 'a', 'is']",Easy,Legal
تقلل الشفافية في الحكومة من الفساد وتعزز الثقة.,Transparency in government reduces corruption and builds trust.,"['الفساد', 'وتعزز', 'في', 'الشفافية', 'من', 'الحكومة', 'الثقة.', 'تقلل']",Easy,Legal
The interplay between genetic predisposition and environmental factors is central to the development of multifactorial diseases.,يعد التفاعل بين الاستعداد الوراثي والعوامل البيئية جوهريًا في تطور الأمراض متعددة العوامل.,"['genetic', 'between', 'central', 'predisposition', 'multifactorial', 'environmental', 'interplay', 'and', 'diseases.', 'is', 'the', 'development', 'to', 'The', 'factors', 'of']",Hard,Health
"Alzheimer's disease is marked by the accumulation of amyloid plaques and tau tangles, leading to cognitive decline and memory loss.",يتميز مرض الزهايمر بتراكم لويحات الأميلويد وتشابكات التاو، مما يؤدي إلى تدهور إدراكي وفقدان الذاكرة.,"['plaques', 'to', 'amyloid', 'decline', 'of', 'leading', 'accumulation', 'and', 'tangles,', 'loss.', 'and', 'marked', 'by', 'is', ""Alzheimer's"", 'memory', 'cognitive', 'disease', 'the', 'tau']",Hard,Health
تهدف تدابير التقشف الحكومية إلى تقليص الدين الوطني.,The government's austerity measures aim to reduce the national debt.,"['تدابير', 'إلى', 'تقليص', 'الدين', 'التقشف', 'تهدف', 'الوطني.', 'الحكومية']",Hard,EcoFinancial
"يُجسد مسار البطل المأساوي في ""هاملت"" لشكسبير تعقيدات القدر والإرادة الحرة.","The tragic hero's journey in Shakespeare's ""Hamlet"" exemplifies the complexities of fate and free will.","['لشكسبير', 'الحرة.', '""هاملت""', 'تعقيدات', 'في', 'والإرادة', 'مسار', 'المأساوي', 'يُجسد', 'البطل', 'القدر']",Hard,Litrature
"تقدم فيرجينيا وولف في ""السيدة دالواي"" استكشافًا لأعماق العقل البشري، مما يوفر رؤى عميقة في الوعي.","Virginia Woolf's exploration of the inner workings of the human mind in ""Mrs. Dalloway"" offers profound insights into consciousness.","['الوعي.', 'البشري،', 'استكشافًا', 'تقدم', 'مما', 'رؤى', 'في', '""السيدة', 'في', 'فيرجينيا', 'دالواي""', 'لأعماق', 'العقل', 'وولف', 'يوفر', 'عميقة']",Hard,Litrature
أحدثت العلاجيات المناعية ثورة في علاج السرطان من خلال تسخير الجهاز المناعي للمريض لاستهداف الخلايا الخبيثة.,Immunotherapy has revolutionized cancer treatment by harnessing the patient’s immune system to target malignant cells.,"['ثورة', 'الخلايا', 'لاستهداف', 'في', 'أحدثت', 'المناعية', 'من', 'المناعي', 'خلال', 'للمريض', 'العلاجيات', 'علاج', 'الجهاز', 'الخبيثة.', 'تسخير', 'السرطان']",Hard,Health
he defendant's motion for summary judgment was denied due to the existence of genuine issues of material fact.,تم رفض طلب المتهم للحكم الموجز بسبب وجود مسائل حقيقية متنازع عليها.,"['fact.', 'denied', 'issues', 'to', 'existence', 'was', 'for', 'genuine', 'due', 'material', 'summary', 'motion', 'the', 'of', 'he', 'of', ""defendant's"", 'judgment']",Hard,Legal
"You’ve been playing this game for too long, and now, the stakes are higher than you can handle.",لقد كنت تلعب هذه اللعبة لفترة طويلة، والآن الرهانات أعلى من أن تتمكن من التعامل معها.,"['than', 'handle.', 'game', 'been', 'now,', 'You’ve', 'higher', 'this', 'stakes', 'playing', 'the', 'for', 'long,', 'can', 'are', 'you', 'and', 'too']",Hard,Subtitle
"Cardiovascular diseases are often preventable through lifestyle modifications, including dietary changes, exercise, and smoking cessation.",يمكن الوقاية من أمراض القلب والأوعية الدموية غالبًا من خلال تعديل نمط الحياة، بما في ذلك تغييرات في النظام الغذائي، وممارسة الرياضة، والإقلاع عن التدخين.,"['dietary', 'Cardiovascular', 'cessation.', 'lifestyle', 'are', 'and', 'modifications,', 'preventable', 'smoking', 'often', 'exercise,', 'through', 'including', 'diseases', 'changes,']",Hard,Health
لست أحاول إنقاذك؛ أنا أحاول إنقاذ نفسي من ما سيحدث بعد ذلك.,I’m not trying to save you; I’m trying to save myself from what happens next.,"['إنقاذك؛', 'أحاول', 'من', 'نفسي', 'لست', 'بعد', 'أحاول', 'ذلك.', 'سيحدث', 'ما', 'إنقاذ', 'أنا']",Hard,Subtitle
منحت المحكمة طلب المدعي للحصول على أمر تقييدي مؤقت لمنع المتهم من الكشف عن معلومات سرية.,The court granted the plaintiff's request for a preliminary injunction to prevent the defendant from disclosing confidential information.,"['من', 'تقييدي', 'للحصول', 'على', 'الكشف', 'أمر', 'طلب', 'معلومات', 'المحكمة', 'عن', 'لمنع', 'منحت', 'مؤقت', 'سرية.', 'المدعي', 'المتهم']",Hard,Legal
العالم أغمق بكثير مما نحب أن نعتقد، وهو يزداد سوءًا.,"The world is a lot darker than we like to think, and it’s only getting worse.","['سوءًا.', 'أغمق', 'مما', 'بكثير', 'يزداد', 'نحب', 'أن', 'وهو', 'العالم', 'نعتقد،']",Hard,Subtitle
The government's monetary policy aims to achieve price stability.,تهدف السياسة النقدية الحكومية إلى تحقيق استقرار الأسعار.,"['stability.', 'to', 'The', 'achieve', 'monetary', 'policy', ""government's"", 'aims', 'price']",Hard,EcoFinancial
منحت المحكمة طلب المتهم لتغيير مكان المحاكمة بسبب المخاوف من الدعاية المسبقة للمحاكمة.,The court granted the defendant's motion for a change of venue due to concerns about pretrial publicity.,"['الدعاية', 'المخاوف', 'المتهم', 'للمحاكمة.', 'المسبقة', 'لتغيير', 'طلب', 'المحاكمة', 'من', 'منحت', 'مكان', 'المحكمة', 'بسبب']",Hard,Legal
"The legal team filed a motion for an expedited hearing due to the urgency of the matter, and the court agreed to set a hearing within 48 hours.",قدم الفريق القانوني طلبًا لجلسة استماع عاجلة بسبب ضرورة القضية، ووافقت المحكمة على تحديد جلسة في غضون 48 ساعة.,"['expedited', 'The', 'hours.', 'an', 'team', 'filed', 'a', 'within', 'the', 'matter,', 'of', 'hearing', '48', 'agreed', 'the', 'the', 'due', 'to', 'set', 'a', 'to', 'and', 'court', 'urgency', 'motion', 'for', 'legal', 'hearing']",Hard,Legal
"يقدم استكشاف الاستعمار وآثاره على الهوية في ""الأشياء تتداعى"" لتشينوا أتشيبي انتقادًا للإمبريالية الأوروبية.","The exploration of colonialism and its effects on identity in Chinua Achebe's ""Things Fall Apart"" offers a critique of European imperialism.","['الهوية', 'الأوروبية.', 'استكشاف', 'وآثاره', 'لتشينوا', 'على', 'الاستعمار', 'تتداعى""', 'انتقادًا', 'يقدم', 'في', 'أتشيبي', '""الأشياء', 'للإمبريالية']",Hard,Litrature
"Sometimes, doing nothing is the hardest thing you can do.",أحياناً، أن تفعل لا شيء هو أصعب شيء يمكن أن تفعله.,"['hardest', 'thing', 'the', 'Sometimes,', 'do.', 'doing', 'nothing', 'you', 'can', 'is']",Hard,Subtitle
رفع المدعى عليه دفاعًا قانونيًا بموجب مبدأ الضرورة، قائلًا إن أفعاله كانت ضرورية لمنع ضرر أكبر كان من الممكن أن يحدث.,"The defendant has raised a valid defense under the doctrine of necessity, claiming that their actions were necessary to prevent a greater harm that would have otherwise occurred.","['قائلًا', 'أفعاله', 'ضرورية', 'إن', 'عليه', 'مبدأ', 'أن', 'من', 'دفاعًا', 'المدعى', 'بموجب', 'لمنع', 'يحدث.', 'كان', 'الممكن', 'رفع', 'الضرورة،', 'كانت', 'أكبر', 'ضرر', 'قانونيًا']",Hard,Legal
The economic sanctions have adversely affected the country's financial stability.,أثرت العقوبات الاقتصادية سلبًا على الاستقرار المالي للبلاد.,"['financial', 'The', 'stability.', 'sanctions', 'affected', 'economic', 'have', ""country's"", 'adversely', 'the']",Hard,EcoFinancial
The monetary tightening measures are intended to control excessive credit growth.,تهدف تدابير التشديد النقدي إلى السيطرة على نمو الائتمان المفرط.,"['measures', 'intended', 'tightening', 'credit', 'to', 'excessive', 'monetary', 'The', 'are', 'growth.', 'control']",Hard,EcoFinancial
تم رفض دعوى المدعي لفشله في تقديم دعوى يمكن منح تعويض لها.,The plaintiff's claim was dismissed for failure to state a claim upon which relief can be granted.,"['دعوى', 'لها.', 'دعوى', 'تعويض', 'لفشله', 'في', 'منح', 'تقديم', 'رفض', 'يمكن', 'تم', 'المدعي']",Hard,Legal
أحياناً، أفضل طريقة لحماية من تحب هو إبقائهم في الظلام.,"Sometimes, the best way to protect those you love is to keep them in the dark.","['أفضل', 'في', 'تحب', 'الظلام.', 'طريقة', 'إبقائهم', 'لحماية', 'أحياناً،', 'هو', 'من']",Hard,Subtitle
Epidemiological studies play a pivotal role in understanding the distribution and determinants of diseases in populations.,تلعب الدراسات الوبائية دورًا محوريًا في فهم توزيع الأمراض وعواملها المؤثرة بين السكان.,"['pivotal', 'play', 'determinants', 'populations.', 'in', 'studies', 'a', 'of', 'distribution', 'role', 'diseases', 'in', 'understanding', 'the', 'Epidemiological', 'and']",Hard,Health
"The exploration of power and its corrupting influence in George Orwell's ""1984"" offers a chilling portrayal of totalitarianism.","يقدم استكشاف السلطة وتأثيرها الفاسد في ""1984"" لجورج أورويل تصويرًا مخيفًا للاستبداد.","['and', 'offers', 'exploration', 'The', 'of', 'chilling', 'influence', 'portrayal', 'power', ""Orwell's"", 'totalitarianism.', 'corrupting', 'George', 'of', 'its', 'a', '""1984""', 'in']",Hard,Litrature
يعتمد مفهوم مناعة القطيع على تطعيم نسبة كبيرة من السكان لمنع انتشار الأمراض المعدية.,The concept of herd immunity relies on a significant portion of the population being immunized to prevent the spread of infectious diseases.,"['المعدية.', 'انتشار', 'تطعيم', 'مناعة', 'كبيرة', 'القطيع', 'لمنع', 'من', 'على', 'الأمراض', 'يعتمد', 'السكان', 'مفهوم', 'نسبة']",Hard,Health
"يعكس تجزؤ السرد في ""مكتوب على الجسد"" لجينيت وينترسون تفكك الهوية والحب.","The fragmentation of narrative in Jeanette Winterson's ""Written on the Body"" mirrors the disintegration of identity and love.","['الهوية', 'والحب.', 'السرد', 'على', 'الجسد""', 'تجزؤ', 'تفكك', 'لجينيت', 'يعكس', 'في', 'وينترسون', '""مكتوب']",Hard,Litrature
6th special session of the UNEP Governing Council.,الدورة الاستثنائية السادسة لمجلس إدارة برنامج الأمم المتحدة للبيئة.,"['Council.', 'the', 'UNEP', 'session', 'Governing', 'of', 'special', '6th']",Hard,Legal
The financial regulator has implemented new rules to enhance market transparency.,قام المنظم المالي بتنفيذ قواعد جديدة لتعزيز شفافية السوق.,"['regulator', 'financial', 'transparency.', 'enhance', 'new', 'rules', 'implemented', 'market', 'has', 'to', 'The']",Hard,EcoFinancial
لقد أثر COVID-19 بشكل غير متناسب على الفئات الضعيفة، حيث أدت العوامل الاجتماعية والاقتصادية إلى تفاقم الفوارق في الوصول إلى الرعاية الصحية والتطعيم.,"COVID-19 has disproportionately impacted vulnerable populations, with socio-economic factors exacerbating disparities in access to healthcare and vaccination.","['على', 'لقد', 'أثر', 'إلى', 'تفاقم', 'الضعيفة،', 'الفوارق', 'الرعاية', 'إلى', 'العوامل', 'أدت', 'COVID-19', 'في', 'متناسب', 'الوصول', 'غير', 'والاقتصادية', 'الصحية', 'الاجتماعية', 'بشكل', 'حيث', 'الفئات', 'والتطعيم.']",Hard,Health
ما فائدة القيام بالشيء الصحيح إذا كانت النتائج دائماً تؤدي إلى عواقب خاطئة؟,What’s the point of doing the right thing if it always leads to the wrong consequences?,"['بالشيء', 'القيام', 'خاطئة؟', 'الصحيح', 'فائدة', 'كانت', 'دائماً', 'عواقب', 'تؤدي', 'ما', 'إذا', 'إلى', 'النتائج']",Hard,Subtitle
The complexity of tumor microenvironments poses significant challenges in developing effective cancer therapies.,يشكل تعقيد البيئة الدقيقة للأورام تحديات كبيرة في تطوير علاجات فعالة للسرطان.,"['effective', 'in', 'tumor', 'developing', 'poses', 'of', 'microenvironments', 'significant', 'The', 'therapies.', 'cancer', 'challenges', 'complexity']",Hard,Health
