correct_translation,sentence,pieces,Eng_Difficulty_Label,Topic_Label
وفقًا لمبدأ الاستقرار القضائي (stare decisis)، يُلزَم المحكمة بالالتزام بالأحكام السابقة الصادرة عن المحاكم العليا في القضايا المماثلة لضمان التناسق في تطبيق القانون.,"In accordance with the principle of stare decisis, the court is bound to adhere to previous rulings made by higher courts in similar cases to ensure consistency in the application of the law.","['عن', 'العليا', 'لمبدأ', 'بالأحكام', 'المماثلة', 'المحكمة', 'المحاكم', 'القضايا', 'القانون.', 'بالالتزام', '(stare', 'لضمان', 'في', 'التناسق', 'في', 'الاستقرار', 'تطبيق', 'يُلزَم', 'وفقًا', 'decisis)،', 'السابقة', 'القضائي', 'الصادرة']",Hard,Legal
This would strengthen our efforts to have decisions made in a timely manner and could lead to further effectiveness and efficiency within the Organization.,ومن شأن هذا أن يعزز جهودنا في اتخاذ القرارات في حينها وأن يؤدي إلى قدر أكبر من الفعالية والكفاءة داخل المنظمة.,"['Organization.', 'within', 'could', 'efforts', 'and', 'decisions', 'This', 'strengthen', 'manner', 'further', 'to', 'lead', 'a', 'and', 'would', 'in', 'have', 'to', 'timely', 'made', 'our', 'efficiency', 'effectiveness', 'the']",Hard,Legal
يهدف برنامج التيسير الكمي للبنك المركزي إلى تحفيز النشاط الاقتصادي.,The central bank's quantitative easing program aims to stimulate economic activity.,"['برنامج', 'تحفيز', 'النشاط', 'للبنك', 'المركزي', 'إلى', 'الاقتصادي.', 'التيسير', 'الكمي', 'يهدف']",Hard,EcoFinancial
يتفاقم انتشار مقاومة مضادات الميكروبات بسبب سوء استخدام المضادات الحيوية، مما يشكل تهديدًا صحيًا عالميًا كبيرًا.,"The prevalence of antimicrobial resistance is exacerbated by the misuse of antibiotics, posing a significant global health threat.","['الحيوية،', 'بسبب', 'كبيرًا.', 'يشكل', 'استخدام', 'سوء', 'عالميًا', 'صحيًا', 'انتشار', 'مما', 'يتفاقم', 'مضادات', 'تهديدًا', 'مقاومة', 'الميكروبات', 'المضادات']",Hard,Health
The central bank's monetary policy significantly influences inflation rates.,تؤثر سياسة البنك المركزي النقدية بشكل كبير على معدلات التضخم.,"['inflation', 'significantly', 'The', ""bank's"", 'policy', 'central', 'monetary', 'rates.', 'influences']",Hard,EcoFinancial
"The human microbiome, consisting of trillions of microorganisms, plays an essential role in maintaining immune homeostasis and overall health.",يلعب الميكروبيوم البشري، المكون من تريليونات من الكائنات الدقيقة، دورًا أساسيًا في الحفاظ على توازن الجهاز المناعي والصحة العامة.,"['trillions', 'health.', 'maintaining', 'microbiome,', 'an', 'homeostasis', 'immune', 'overall', 'plays', 'of', 'and', 'human', 'essential', 'The', 'role', 'consisting', 'in', 'microorganisms,', 'of']",Hard,Health
"The court dismissed the plaintiff's case due to a lack of substantial evidence to support their claims, and ruled that the defendant was entitled to a judgment in their favor.",رفضت المحكمة قضية المدعي بسبب نقص الأدلة الجوهرية لدعم ادعاءاته، وأصدرت حكمًا لصالح المدعى عليه.,"['their', 'in', ""plaintiff's"", 'lack', 'the', 'The', 'entitled', 'case', 'to', 'defendant', 'of', 'their', 'evidence', 'favor.', 'that', 'to', 'dismissed', 'a', 'support', 'a', 'court', 'the', 'was', 'to', 'judgment', 'due', 'ruled', 'substantial', 'and', 'claims,']",Hard,Legal
I’m not here to argue with you. I’m here because I have no other choice.,أنا هنا لست للمجادلة معك. أنا هنا لأنه ليس لدي خيار آخر.,"['other', 'here', 'I’m', 'to', 'I', 'you.', 'I’m', 'because', 'have', 'no', 'with', 'argue', 'choice.', 'here', 'not']",Hard,Subtitle
The defendant's conviction was overturned on appeal due to the admission of inadmissible evidence during the trial.,تم نقض إدانة المتهم في الاستئناف بسبب قبول أدلة غير مقبولة خلال المحاكمة.,"['during', 'admission', 'overturned', 'the', 'due', 'inadmissible', 'trial.', ""defendant's"", 'the', 'evidence', 'appeal', 'to', 'was', 'of', 'conviction', 'The', 'on']",Hard,Legal
I don’t care about the rules anymore. The only thing that matters is getting out of here alive.,لا أهتم بالقواعد بعد الآن. الشيء الوحيد الذي يهم هو الخروج من هنا على قيد الحياة.,"['thing', 'care', 'The', 'is', 'getting', 'the', 'alive.', 'I', 'rules', 'don’t', 'here', 'that', 'only', 'matters', 'about', 'of', 'anymore.', 'out']",Hard,Subtitle
إذا كنت تعتقد أن هذه هي النهاية، فأنت مخطئ. هذا مجرد البداية.,"If you think that’s the end of it, you're wrong. This is just the beginning.","['مجرد', 'هي', 'أن', 'هذه', 'فأنت', 'كنت', 'مخطئ.', 'تعتقد', 'النهاية،', 'هذا', 'البداية.', 'إذا']",Hard,Subtitle
تقول أنك تريد السلام، ولكن تصرفاتك تخبر قصة مختلفة تماماً.,"You say you want peace, but your actions tell a completely different story.","['قصة', 'تصرفاتك', 'تماماً.', 'أنك', 'تقول', 'السلام،', 'تخبر', 'ولكن', 'مختلفة', 'تريد']",Hard,Subtitle
The defendant's motion for a new trial was denied due to lack of newly discovered evidence.,تم رفض طلب المتهم لإعادة المحاكمة بسبب نقص الأدلة المكتشفة حديثًا.,"['for', 'trial', 'denied', 'to', 'due', 'a', 'new', 'motion', 'discovered', 'evidence.', 'newly', 'of', 'was', 'lack', 'The', ""defendant's""]",Hard,Legal
The trade war has resulted in tariffs that have disrupted global supply chains.,أسفرت الحرب التجارية عن فرض تعريفات جمركية أضرت بسلاسل الإمداد العالمية.,"['disrupted', 'resulted', 'global', 'has', 'The', 'in', 'tariffs', 'have', 'war', 'chains.', 'supply', 'that', 'trade']",Hard,EcoFinancial
تلاحظ اللجنة باهتمام اعتماد قواعد بشأن تدابير بديلة في مجال قضاء الأحداث.,The Committee notes with interest the adoption of rules on alternative measures for juvenile justice.,"['اعتماد', 'بشأن', 'الأحداث.', 'تدابير', 'باهتمام', 'بديلة', 'قواعد', 'تلاحظ', 'في', 'اللجنة', 'قضاء', 'مجال']",Hard,Legal
محفظة استثمار البنك مثقلة بشكل كبير بالأصول في الأسواق الناشئة.,The bank's investment portfolio is heavily weighted in emerging market assets.,"['بالأصول', 'محفظة', 'مثقلة', 'البنك', 'الناشئة.', 'بشكل', 'في', 'كبير', 'الأسواق', 'استثمار']",Hard,EcoFinancial
عواصف السيتوكينات هي رد فعل مفرط للجهاز المناعي، مما يمكن أن يؤدي إلى التهابات شديدة وتلف في الأعضاء.,"Cytokine storms are an overreaction of the immune system, which can result in severe inflammation and organ damage.","['الأعضاء.', 'هي', 'عواصف', 'إلى', 'السيتوكينات', 'يؤدي', 'وتلف', 'فعل', 'مما', 'المناعي،', 'للجهاز', 'رد', 'مفرط', 'شديدة', 'في', 'التهابات', 'أن', 'يمكن']",Hard,Health
يعتمد علم الأورام الدقيق على التسلسل الجيني لتحديد الطفرات القابلة للعلاج، وتخصيص العلاجات لاستهداف مسارات السرطان المحددة.,"Precision oncology leverages genomic sequencing to identify actionable mutations, tailoring therapies to target specific cancer pathways.","['علم', 'التسلسل', 'للعلاج،', 'مسارات', 'على', 'القابلة', 'لتحديد', 'وتخصيص', 'لاستهداف', 'يعتمد', 'العلاجات', 'الدقيق', 'الأورام', 'الطفرات', 'المحددة.', 'الجيني', 'السرطان']",Hard,Health
"I could have warned you, but then again, I don’t think you would have listened.",كان بإمكاني تحذيرك، لكنني لا أعتقد أنك كنت ستستمع.,"['have', 'don’t', 'again,', 'think', 'warned', 'listened.', 'have', 'then', 'you,', 'I', 'would', 'I', 'but', 'could', 'you']",Hard,Subtitle
The preservation of oral stories has been crucial in shaping national identities in the Arab world.,كان الحفاظ على القصص الشفوية أمرًا حيويًا في تشكيل الهوية الوطنية في العالم العربي.,"['The', 'identities', 'preservation', 'shaping', 'oral', 'Arab', 'world.', 'the', 'of', 'in', 'in', 'has', 'stories', 'national', 'been', 'crucial']",Medium,Litrature
تم ربط السلوك الخامل، مثل الجلوس لفترات طويلة دون نشاط بدني، بزيادة خطر الإصابة بحالات صحية خطيرة.,"Sedentary behavior, such as sitting for long periods without physical activity, has been associated with an increased risk of developing serious health conditions.","['لفترات', 'صحية', 'نشاط', 'بدني،', 'الجلوس', 'الخامل،', 'الإصابة', 'تم', 'مثل', 'دون', 'طويلة', 'بزيادة', 'ربط', 'خطيرة.', 'السلوك', 'خطر', 'بحالات']",Medium,Health
المعاهدات الدولية هي اتفاقيات ملزمة بين الدول ذات السيادة.,International treaties are binding agreements between sovereign nations.,"['الدولية', 'هي', 'ملزمة', 'اتفاقيات', 'السيادة.', 'المعاهدات', 'الدول', 'ذات', 'بين']",Medium,Legal
يعمل ترجمة الأدب على سد الفجوة بين اللغات والثقافات المختلفة.,Translating literature bridges the gap between different languages and cultures.,"['الأدب', 'سد', 'بين', 'يعمل', 'على', 'اللغات', 'والثقافات', 'المختلفة.', 'الفجوة', 'ترجمة']",Medium,Litrature
The court ordered the defendant to pay restitution to the victims.,أمرت المحكمة المتهم بدفع تعويضات للضحايا.,"['court', 'The', 'restitution', 'defendant', 'to', 'pay', 'the', 'ordered', 'the', 'victims.', 'to']",Medium,Legal
تناول نظام غذائي متوازن يشمل البروتينات الخالية من الدهون والدهون الصحية والألياف يمكن أن يحسن مستويات الكوليسترول ويدعم صحة القلب.,"Consuming a balanced diet that includes lean proteins, healthy fats, and fiber can improve cholesterol levels and support heart health.","['صحة', 'يحسن', 'القلب.', 'يمكن', 'البروتينات', 'من', 'غذائي', 'ويدعم', 'والدهون', 'الصحية', 'متوازن', 'الدهون', 'مستويات', 'أن', 'نظام', 'الخالية', 'تناول', 'يشمل', 'الكوليسترول', 'والألياف']",Medium,Health
The study of literature enhances critical thinking and empathy towards others.,تعزز دراسة الأدب التفكير النقدي والتعاطف مع الآخرين.,"['study', 'towards', 'others.', 'critical', 'literature', 'of', 'empathy', 'thinking', 'enhances', 'The', 'and']",Medium,Litrature
The court issued a restraining order against the defendant.,أصدرت المحكمة أمرًا تقييديًا ضد المتهم.,"['defendant.', 'restraining', 'order', 'The', 'court', 'against', 'a', 'issued', 'the']",Medium,Legal
ستكون جولة العمر.,It's going to be the ride of a lifetime.,"['العمر.', 'جولة', 'ستكون']",Medium,Subtitle
The defendant's appeal was denied due to lack of merit.,تم رفض استئناف المتهم بسبب عدم وجود أساس قانوني.,"['lack', 'appeal', 'was', 'merit.', 'denied', ""defendant's"", 'of', 'due', 'to', 'The']",Medium,Legal
تفكر الحكومة في زيادة الضرائب لتمويل المشاريع العامة.,The government is considering increasing taxes to fund public projects.,"['لتمويل', 'تفكر', 'العامة.', 'الحكومة', 'زيادة', 'الضرائب', 'في', 'المشاريع']",Medium,EcoFinancial
بموجب مرسوم رئاسي، علقت الفصول الدراسية في جميع أنحاء البلاد لمدة 14 يومًا، وكذلك أنشطة جامعة الجمهورية والعروض العامة.,"By presidential decree, classes were canceled throughout the country for 14 days, as well as the activities of the University of the Republic and public shows.","['البلاد', 'الدراسية', 'العامة.', 'أنحاء', 'أنشطة', 'علقت', 'وكذلك', 'جميع', 'جامعة', 'لمدة', 'يومًا،', 'رئاسي،', 'الفصول', '14', 'في', 'بموجب', 'مرسوم', 'الجمهورية', 'والعروض']",Medium,Health
"In the advanced stages, or end stage pulmonary disease, it occurs during rest and may be always present.",في المراحل المتقدمة، أو مرض الرئة في مرحلته النهائية، يحدث أثناء الراحة وقد يكون موجودًا دائمًا.,"['or', 'end', 'In', 'pulmonary', 'always', 'stages,', 'disease,', 'occurs', 'and', 'be', 'may', 'present.', 'stage', 'it', 'the', 'rest', 'advanced', 'during']",Medium,Health
كان الحفاظ على المخطوطات أمرًا حيويًا في صيانة تراث الأدب العربي.,The preservation of manuscripts has been crucial in maintaining the heritage of Arabic literature.,"['الأدب', 'على', 'صيانة', 'كان', 'حيويًا', 'أمرًا', 'العربي.', 'المخطوطات', 'الحفاظ', 'في', 'تراث']",Medium,Litrature
يساعدنا قراءة الأدب من عصور مختلفة على فهم السياقات التاريخية.,Reading literature from different eras helps us understand historical contexts.,"['يساعدنا', 'مختلفة', 'التاريخية.', 'السياقات', 'على', 'الأدب', 'قراءة', 'فهم', 'من', 'عصور']",Medium,Litrature
Getting regular check-ups with your healthcare provider is a proactive way to detect potential health issues before they become serious problems.,إجراء فحوصات منتظمة مع مقدم الرعاية الصحية الخاص بك هو وسيلة استباقية لاكتشاف المشكلات الصحية المحتملة قبل أن تصبح مشاكل خطيرة.,"['health', 'Getting', 'they', 'provider', 'a', 'with', 'potential', 'way', 'your', 'detect', 'healthcare', 'problems.', 'before', 'proactive', 'become', 'regular', 'serious', 'check-ups', 'to', 'is', 'issues']",Medium,Health
The novel 'Season of Migration to the North' by Tayeb Salih explores post-colonial identity.,تستكشف رواية 'موسم الهجرة إلى الشمال' للطيب صالح الهوية بعد الاستعمار.,"['identity.', 'novel', 'by', 'explores', 'Salih', 'post-colonial', 'to', 'of', 'Tayeb', ""North'"", 'Migration', 'The', ""'Season"", 'the']",Medium,Litrature
Financial institutions play a crucial role in the economy.,المؤسسات المالية تلعب دورًا حيويًا في الاقتصاد.,"['role', 'a', 'crucial', 'play', 'institutions', 'economy.', 'the', 'in', 'Financial']",Medium,EcoFinancial
المستثمرون يراقبون مؤشرات الاقتصاد الوطني عن كثب.,Investors are closely monitoring the country's economic indicators.,"['المستثمرون', 'الوطني', 'مؤشرات', 'كثب.', 'عن', 'الاقتصاد', 'يراقبون']",Medium,EcoFinancial
Financial markets react to global economic events.,أسواق المال تتفاعل مع الأحداث الاقتصادية العالمية.,"['markets', 'Financial', 'economic', 'events.', 'to', 'react', 'global']",Medium,EcoFinancial
وهذا... حيث كل شيء يبدأ.,And this... is where it all begins.,"['يبدأ.', 'كل', 'وهذا...', 'شيء', 'حيث']",Medium,Subtitle
"Incorporating mindfulness practices into daily routines can help reduce anxiety, improve emotional regulation, and increase overall mental clarity.",دمج تقنيات اليقظة الذهنية في الروتين اليومي يمكن أن يساعد في تقليل القلق وتحسين تنظيم العواطف وزيادة وضوح العقل بشكل عام.,"['practices', 'improve', 'mindfulness', 'emotional', 'overall', 'into', 'help', 'anxiety,', 'clarity.', 'daily', 'regulation,', 'can', 'reduce', 'Incorporating', 'routines', 'and', 'mental', 'increase']",Medium,Health
الفحوصات البدنية المنتظمة، بما في ذلك اختبارات الدم والفحوصات، مهمة لتحديد المشكلات الصحية المحتملة قبل أن تصبح خطيرة.,"Regular physical examinations, including blood tests and screenings, are important for identifying potential health problems before they become serious.","['والفحوصات،', 'المنتظمة،', 'بما', 'اختبارات', 'المحتملة', 'مهمة', 'الصحية', 'في', 'خطيرة.', 'الدم', 'المشكلات', 'تصبح', 'أن', 'ذلك', 'الفحوصات', 'البدنية', 'قبل', 'لتحديد']",Medium,Health
سنبدأ السلسلة بأخذ رحلة مع الرياح.,We'll start the series by taking a journey with the winds.,"['مع', 'سنبدأ', 'السلسلة', 'رحلة', 'الرياح.', 'بأخذ']",Medium,Subtitle
"A proper sleep environment, including a comfortable mattress, cool room temperature, and minimal noise, is crucial for achieving restful and restorative sleep.",بيئة النوم المناسبة، بما في ذلك مرتبة مريحة ودرجة حرارة الغرفة المنعشة والحد الأدنى من الضوضاء، أمر حاسم لتحقيق نوم هادئ وتجديدي.,"['minimal', 'noise,', 'cool', 'restful', 'a', 'comfortable', 'A', 'for', 'sleep', 'crucial', 'including', 'temperature,', 'and', 'sleep.', 'restorative', 'achieving', 'room', 'mattress,', 'proper', 'is', 'environment,', 'and']",Medium,Health
The defense team filed a motion for a change of venue.,قدمت فريق الدفاع طلبًا لتغيير مكان المحاكمة.,"['filed', 'defense', 'a', 'change', 'team', 'motion', 'for', 'venue.', 'The', 'a', 'of']",Medium,Legal
This freezing layer of dry air is called the tropopause.,هذه الطبقة المجمدة من الهواء الجاف تدعى التروبوبوز.,"['tropopause.', 'of', 'is', 'air', 'freezing', 'dry', 'the', 'layer', 'called', 'This']",Medium,Subtitle
The defendant's right to a fair trial is protected under the constitution.,يتم حماية حق المتهم في محاكمة عادلة بموجب الدستور.,"['protected', 'under', 'trial', 'is', 'the', 'constitution.', ""defendant's"", 'to', 'The', 'fair', 'right', 'a']",Medium,Legal
تخطط الشركة لتوسيع عملياتها في الأسواق الدولية.,The company plans to expand its operations in international markets.,"['عملياتها', 'الشركة', 'لتوسيع', 'الأسواق', 'الدولية.', 'في', 'تخطط']",Medium,EcoFinancial
"Having shot to the top of the weather, I thought I'd take the easy way down.",بعد أن صعدت إلى قمة الطقس، فكرت أن أنزل بالطريقة السهلة.,"['down.', 'of', 'the', 'the', 'easy', ""I'd"", 'the', 'to', 'thought', 'take', 'shot', 'way', 'top', 'Having', 'weather,', 'I']",Medium,Subtitle
The court issued a restraining order against the defendant.,أصدرت المحكمة أمرًا تقييديًا ضد المتهم.,"['The', 'restraining', 'order', 'issued', 'court', 'the', 'against', 'defendant.', 'a']",Medium,Legal
The defendant was found guilty of manslaughter.,تم العثور على المتهم مذنبًا بالقتل غير العمد.,"['The', 'was', 'guilty', 'manslaughter.', 'of', 'found', 'defendant']",Medium,Legal
Interest rates have a direct impact on consumer spending.,أسعار الفائدة لها تأثير مباشر على الإنفاق الاستهلاكي.,"['Interest', 'on', 'spending.', 'direct', 'impact', 'rates', 'consumer', 'a', 'have']",Medium,EcoFinancial
The central bank's monetary policy influences inflation rates.,السياسة النقدية للبنك المركزي تؤثر على معدلات التضخم.,"['monetary', 'policy', 'central', 'influences', 'inflation', 'The', ""bank's"", 'rates.']",Medium,EcoFinancial
الميزانية المتوازنة أمر بالغ الأهمية لاستقرار الاقتصاد الوطني.,A balanced budget is crucial for national economic stability.,"['لاستقرار', 'بالغ', 'الوطني.', 'الاقتصاد', 'المتوازنة', 'الميزانية', 'الأهمية', 'أمر']",Medium,EcoFinancial
It then slides north and south before sinking back down to Earth and returning to the equator as the winds we feel on land or sea.,ثم ينزلق شمالًا وجنوبًا قبل أن يغرق عائدًا إلى الأرض ويعود إلى خط الاستواء كرياح نشعر بها على اليابسة أو البحر.,"['to', 'sea.', 'land', 'equator', 'and', 'feel', 'the', 'north', 'and', 'down', 'south', 'winds', 'or', 'we', 'as', 'slides', 'returning', 'on', 'It', 'before', 'back', 'sinking', 'the', 'Earth', 'then', 'to']",Medium,Subtitle
التداخل بين التقاليد الشفوية والنصوص المكتوبة هو سمة مميزة للأدب العربي.,The interplay between oral traditions and written texts is a hallmark of Arabic literature.,"['والنصوص', 'للأدب', 'المكتوبة', 'بين', 'التقاليد', 'سمة', 'التداخل', 'العربي.', 'مميزة', 'هو', 'الشفوية']",Medium,Litrature
The rise in interest rates may discourage investment in real estate.,قد تؤدي زيادة أسعار الفائدة إلى تقليل الاستثمارات في العقارات.,"['may', 'discourage', 'in', 'rates', 'The', 'interest', 'rise', 'estate.', 'real', 'investment', 'in']",Medium,EcoFinancial
The works of Rumi and Al-Mutanabbi remain influential in both Eastern and Western literary traditions.,تظل أعمال جلال الدين الرومي والمتنبي مؤثرة في التقاليد الأدبية الشرقية والغربية.,"['works', 'in', 'Rumi', 'Al-Mutanabbi', 'and', 'of', 'literary', 'Western', 'The', 'and', 'Eastern', 'remain', 'influential', 'traditions.', 'both']",Medium,Litrature
غالبًا ما يدمج الأدب العربي التعبير الشعري مع الموضوعات الفلسفية والأخلاقية.,Arabic literature often intertwines poetic expression with philosophical and ethical themes.,"['الموضوعات', 'العربي', 'غالبًا', 'والأخلاقية.', 'التعبير', 'يدمج', 'الشعري', 'الفلسفية', 'الأدب', 'ما', 'مع']",Medium,Litrature
من خلال الأدب، يمكننا الحفاظ على اللغات واللهجات التي قد تختفي لولا ذلك.,"Through literature, we can preserve languages and dialects that might otherwise disappear.","['يمكننا', 'التي', 'اللغات', 'على', 'من', 'ذلك.', 'قد', 'لولا', 'الحفاظ', 'واللهجات', 'خلال', 'تختفي', 'الأدب،']",Medium,Litrature
على هذا الارتفاع، يتوقف الهواء عن التبريد ويبقى ثابتًا عند ناقص 50 درجة مئوية.,"Up this high, the air stops cooling and remains a constant minus 50 degrees Celsius.","['ثابتًا', 'درجة', 'الهواء', 'يتوقف', 'ويبقى', 'ناقص', 'مئوية.', 'عند', 'هذا', 'الارتفاع،', 'عن', '50', 'التبريد', 'على']",Medium,Subtitle
رياح العالم محصورة في دورة لا نهائية.,The world's winds are locked into an endless cycle.,"['رياح', 'العالم', 'محصورة', 'في', 'لا', 'نهائية.', 'دورة']",Medium,Subtitle
غالبًا ما يكمل الخط العربي الشعر الكلاسيكي، مضيفًا بُعدًا بصريًا للفن الأدبي.,"Arabic calligraphy often complements classical poetry, adding a visual dimension to literary art.","['الخط', 'يكمل', 'بُعدًا', 'بصريًا', 'الكلاسيكي،', 'الشعر', 'غالبًا', 'العربي', 'مضيفًا', 'للفن', 'ما', 'الأدبي.']",Medium,Litrature
سأواجه الجانب المظلم للصيف.,I'll experience the dark side of summer.,"['للصيف.', 'سأواجه', 'المظلم', 'الجانب']",Medium,Subtitle
"In this series, I'm going to experience the fastest winds on Earth.",في هذه السلسلة، سأواجه الرياح الأسرع على الأرض.,"['winds', 'Earth.', 'series,', 'this', ""I'm"", 'going', 'experience', 'the', 'In', 'on', 'to', 'fastest']",Medium,Subtitle
تنفيذ مزيج من تناول الطعام الصحي والنشاط البدني والعناية بالصحة النفسية يمكن أن يحسن بشكل كبير من متوسط العمر المتوقع وجودة الحياة.,"Implementing a combination of healthy eating, physical activity, and mental health care can significantly improve life expectancy and quality of life.","['العمر', 'الصحي', 'وجودة', 'أن', 'يحسن', 'المتوقع', 'من', 'بشكل', 'والعناية', 'النفسية', 'كبير', 'مزيج', 'بالصحة', 'تنفيذ', 'تناول', 'البدني', 'والنشاط', 'الطعام', 'متوسط', 'من', 'الحياة.', 'يمكن']",Medium,Health
يمر الاقتصاد بفترة من التعافي البطيء بعد الركود.,The economy is experiencing a period of slow recovery following the recession.,"['التعافي', 'من', 'الاقتصاد', 'البطيء', 'الركود.', 'بفترة', 'يمر', 'بعد']",Medium,EcoFinancial
The novel 'Men in the Sun' by Ghassan Kanafani addresses the Palestinian experience.,تتناول رواية 'رجال في الشمس' لغسان كنفاني التجربة الفلسطينية.,"[""Sun'"", 'novel', 'experience.', 'Palestinian', 'Kanafani', 'by', 'the', 'in', 'Ghassan', 'the', ""'Men"", 'addresses', 'The']",Medium,Litrature
The government is implementing fiscal policies to boost economic growth.,الحكومة تنفذ السياسات المالية لتعزيز النمو الاقتصادي.,"['is', 'The', 'implementing', 'growth.', 'government', 'to', 'economic', 'policies', 'boost', 'fiscal']",Medium,EcoFinancial